Province/Regency/City,,,
,[New Method] Human Development Index,,
Supiori,63.65,64.61,65.15
Mamberamo Raya,53.1,54.08,55
Nduga,34.1,35.19,-
Lanny Jaya,49.62,50.56,-
Mamberamo Tengah,49.25,50.22,-
Yalimo,49.9,50.87,-
Puncak,43.87,44.59,-
Dogiyai,55.72,56.7,-
Intan Jaya,49.25,50.19,-
Deiyai,50.42,51.18,-
Kota Jayapura,80.61,81.14,81.67
PAPUA SELATAN,-,-,67.9
Merauke,-,-,72.73
Boven Digoel,-,-,64.26
Mappi,-,-,61.51
Asmat,-,-,53.92
PAPUA TENGAH,-,-,59.75
Mimika,-,-,76.85
Dogiyai,-,-,57.68
Deiyai,-,-,52.07
Nabire,-,-,71.77
Paniai,-,-,58.69
Intan Jaya,-,-,50.71
Puncak,-,-,45.6
Puncak Jaya,-,-,51.78
PAPUA PEGUNUNGAN,-,-,53.42
Nduga,-,-,36.3
Jayawijaya,-,-,61.03
Lanny Jaya,-,-,51.59
Tolikara,-,-,52.05
Mamberamo Tengah,-,-,50.72
Yalimo,-,-,51.85
Yahukimo,-,-,51.98
Pegunungan Bintang,-,-,49.36
INDONESIA,72.91,73.55,74.2
