"District","Time","Age","Cases","Population"
"MAJALENGKA",2022,"5-14",254,195626
"MAJALENGKA",2023,"0-4",41,91074
"MAJALENGKA",2023,"15-44",71,639309
"MAJALENGKA",2023,"45-99",33,426000
"MAJALENGKA",2023,"5-14",108,194768
"PANGANDARAN",2020,"0-4",21,28954
"PANGANDARAN",2020,"15-44",90,185203
"PANGANDARAN",2020,"45-99",42,148713
"PANGANDARAN",2020,"5-14",43,60797
"PANGANDARAN",2021,"0-4",13,28677
"PANGANDARAN",2021,"15-44",29,187160
"PANGANDARAN",2021,"45-99",16,151915
"PANGANDARAN",2021,"5-14",22,60330
"PANGANDARAN",2022,"0-4",51,28399
"PANGANDARAN",2022,"15-44",224,189118
"PANGANDARAN",2022,"45-99",118,155116
"PANGANDARAN",2022,"5-14",110,59864
"PANGANDARAN",2023,"0-4",23,28122
"PANGANDARAN",2023,"15-44",112,191076
"PANGANDARAN",2023,"45-99",56,158318
"PANGANDARAN",2023,"5-14",62,59396
"PURWAKARTA",2020,"0-4",28,83127
"PURWAKARTA",2020,"15-44",312,491231
"PURWAKARTA",2020,"45-99",86,254752
"PURWAKARTA",2020,"5-14",108,168759
"PURWAKARTA",2021,"0-4",21,82699
"PURWAKARTA",2021,"15-44",105,497215
"PURWAKARTA",2021,"45-99",36,263129
"PURWAKARTA",2021,"5-14",58,168695
"PURWAKARTA",2022,"0-4",29,82271
"PURWAKARTA",2022,"15-44",222,503198
"PURWAKARTA",2022,"45-99",68,271505
"PURWAKARTA",2022,"5-14",93,168631
"PURWAKARTA",2023,"0-4",22,81843
"PURWAKARTA",2023,"15-44",213,509181
"PURWAKARTA",2023,"45-99",59,279883
"PURWAKARTA",2023,"5-14",130,168568
"SUBANG",2020,"0-4",19,111784
"SUBANG",2020,"15-44",142,755031
"SUBANG",2020,"45-99",44,490328
"SUBANG",2020,"5-14",69,238177
"SUBANG",2021,"0-4",9,110447
"SUBANG",2021,"15-44",154,762446
"SUBANG",2021,"45-99",40,500795
"SUBANG",2021,"5-14",84,236244
"SUBANG",2022,"0-4",80,109110
"SUBANG",2022,"15-44",457,769861
"SUBANG",2022,"45-99",140,511260
"SUBANG",2022,"5-14",318,234310
"SUBANG",2023,"0-4",49,107773
"SUBANG",2023,"15-44",251,777277
"SUBANG",2023,"45-99",81,521726
"SUBANG",2023,"5-14",237,232377
"SUKABUMI",2020,"0-4",31,218804
"SUKABUMI",2020,"15-44",276,1318459
"SUKABUMI",2020,"45-99",126,734264
"SUKABUMI",2020,"5-14",97,453923
