District,Year,HDI
NDUGA,2022,-
NDUGA,2022,-
JAYAWIJAYA,2022,-
JAYAWIJAYA,2022,-
LANNY JAYA,2022,-
LANNY JAYA,2022,-
TOLIKARA,2022,-
TOLIKARA,2022,-
MAMBERAMO TENGAH,2022,-
MAMBERAMO TENGAH,2022,-
YALIMO,2022,-
YALIMO,2022,-
YAHUKIMO,2022,-
YAHUKIMO,2022,-
PEGUNUNGAN BINTANG,2022,-
PEGUNUNGAN BINTANG,2022,-
INDONESIA,2022,72.91
ACEH,2023,73.4
SIMEULUE,2023,68.06
ACEH SINGKIL,2023,70.14
ACEH SELATAN,2023,68.44
ACEH TENGGARA,2023,71.05
ACEH TIMUR,2023,69.32
ACEH TENGAH,2023,74.6
ACEH BARAT,2023,72.88
ACEH BESAR,2023,74.53
PIDIE,2023,71.66
BIREUEN,2023,73.63
ACEH UTARA,2023,70.87
ACEH BARAT DAYA,2023,68.07
GAYO LUES,2023,68.93
ACEH TAMIANG,2023,71.35
NAGAN RAYA,2023,70.78
ACEH JAYA,2023,70.88
BENER MERIAH,2023,74.49
PIDIE JAYA,2023,74.8
KOTA BANDA ACEH,2023,86.69
KOTA SABANG,2023,77.52
KOTA LANGSA,2023,78.36
KOTA LHOKSEUMAWE,2023,78.92
KOTA SUBULUSSALAM,2023,67.1
SUMATERA UTARA,2023,73.37
NIAS,2023,64.56
MANDAILING NATAL,2023,68.56
TAPANULI SELATAN,2023,71.55
TAPANULI TENGAH,2023,70.91
TAPANULI UTARA,2023,74.65
TOBA SAMOSIR / TOBA,2023,76.38
LABUHAN BATU,2023,73.69
ASAHAN,2023,71.56
SIMALUNGUN,2023,74.29
DAIRI,2023,73.27
KARO,2023,75.98
DELI SERDANG,2023,76.52
LANGKAT,2023,72.21
NIAS SELATAN,2023,64.12
HUMBANG HASUNDUTAN,2023,70.75
PAKPAK BHARAT,2023,69.58
SAMOSIR,2023,72.08
SERDANG BEDAGAI,2023,71.75
BATU BARA,2023,70.31
PADANG LAWAS UTARA,2023,71.63
PADANG LAWAS,2023,70.34
LABUHAN BATU SELATAN,2023,72.82
LABUHAN BATU UTARA,2023,73.63
NIAS UTARA,2023,64.64
NIAS BARAT,2023,63.7
KOTA SIBOLGA,2023,75.2
KOTA TANJUNG BALAI,2023,70.59
KOTA PEMATANG SIANTAR,2023,80.46
KOTA TEBING TINGGI,2023,76.98
KOTA MEDAN,2023,82.19
KOTA BINJAI,2023,77.6
KOTA PADANGSIDIMPUAN,2023,76.44
KOTA GUNUNGSITOLI,2023,70.68
SUMATERA BARAT,2023,73.75
KEPULAUAN MENTAWAI,2023,63.13
PESISIR SELATAN,2023,71.44
SOLOK,2023,70.63
SIJUNJUNG,2023,69.65
TANAH DATAR,2023,73.98
PADANG PARIAMAN,2023,72.61
AGAM,2023,73.98
LIMA PULUH KOTA,2023,70.7
PASAMAN,2023,68.13
SOLOK SELATAN,2023,70.58
DHARMASRAYA,2023,73.04
PASAMAN BARAT,2023,70.19
KOTA PADANG,2023,83.58
KOTA SOLOK,2023,79.58
KOTA SAWAH LUNTO,2023,74.42
KOTA PADANG PANJANG,2023,79.26
KOTA BUKITTINGGI,2023,81.78
KOTA PAYAKUMBUH,2023,79.97
KOTA PARIAMAN,2023,78.13
RIAU,2023,74.04
KUANTAN SINGINGI,2023,71.67
INDRAGIRI HULU,2023,71.04
INDRAGIRI HILIR,2023,67.98
PELALAWAN,2023,73.59
SIAK,2023,74.98
KAMPAR,2023,74.24
ROKAN HULU,2023,71.02
BENGKALIS,2023,74.97
ROKAN HILIR,2023,70.78
KEPULAUAN MERANTI,2023,67.28
KOTA PEKANBARU,2023,82.38
KOTA DUMAI,2023,75.66
JAMBI,2023,72.77
KERINCI,2023,72.54
MERANGIN,2023,70.81
SAROLANGUN,2023,71.29
BATANG HARI,2023,71.02
MUARO JAMBI,2023,71.04
TANJUNG JABUNG TIMUR,2023,66.65
TANJUNG JABUNG BARAT,2023,69.35
TEBO,2023,70.63
BUNGO,2023,71.06
KOTA JAMBI,2023,80.15
KOTA SUNGAI PENUH,2023,76.65
SUMATERA SELATAN,2023,71.62
OGAN KOMERING ULU,2023,71.01
OGAN KOMERING ILIR,2023,68.65
MUARA ENIM,2023,70.24
LAHAT,2023,69.1
MUSI RAWAS,2023,68.26
MUSI BANYUASIN,2023,69.17
BANYU ASIN,2023,68.65
OGAN KOMERING ULU SELATAN,2023,66.67
OGAN KOMERING ULU TIMUR,2023,70.96
OGAN ILIR,2023,68.76
EMPAT LAWANG,2023,66.68
PENUKAL ABAB LEMATANG ILIR,2023,66.64
MUSI RAWAS UTARA,2023,66.6
KOTA PALEMBANG,2023,80.02
KOTA PRABUMULIH,2023,76.46
KOTA PAGAR ALAM,2023,70.45
KOTA LUBUKLINGGAU,2023,76.19
BENGKULU,2023,72.78
BENGKULU SELATAN,2023,71.91
REJANG LEBONG,2023,72.31
BENGKULU UTARA,2023,70.28
KAUR,2023,68.38
SELUMA,2023,68.27
MUKOMUKO,2023,69.97
LEBONG,2023,68.71
KEPAHIANG,2023,69.6
BENGKULU TENGAH,2023,68.99
KOTA BENGKULU,2023,81.45
LAMPUNG,2023,71.15
LAMPUNG BARAT,2023,69.11
TANGGAMUS,2023,67.86
LAMPUNG SELATAN,2023,69.63
LAMPUNG TIMUR,2023,71.21
LAMPUNG TENGAH,2023,71.6
LAMPUNG UTARA,2023,68.95
WAY KANAN,2023,68.63
TULANGBAWANG,2023,70.02
PESAWARAN,2023,67.67
PRINGSEWU,2023,71.61
MESUJI,2023,65.64
TULANG BAWANG BARAT,2023,67.81
PESISIR BARAT,2023,66
KOTA BANDAR LAMPUNG,2023,78.56
KOTA METRO,2023,78.36
KEP. BANGKA BELITUNG,2023,72.85
BANGKA,2023,73.66
BELITUNG,2023,74.02
BANGKA BARAT,2023,70.45
BANGKA TENGAH,2023,71.71
BANGKA SELATAN,2023,68.51
BELITUNG TIMUR,2023,72.86
KOTA PANGKAL PINANG,2023,79.93
KEPULAUAN RIAU,2023,77.11
KARIMUN,2023,73.51
BINTAN,2023,75.7
NATUNA,2023,74.21
LINGGA,2023,67.44
KEPULAUAN ANAMBAS,2023,70.26
KOTA BATAM,2023,82.11
KOTA TANJUNG PINANG,2023,80.23
DKI JAKARTA,2023,82.46
KEPULAUAN SERIBU,2023,73.39
KOTA JAKARTA SELATAN,2023,86.07
KOTA JAKARTA TIMUR,2023,84.13
KOTA JAKARTA PUSAT,2023,82.53
KOTA JAKARTA BARAT,2023,83.02
KOTA JAKARTA UTARA,2023,81.11
JAWA BARAT,2023,73.74
BOGOR,2023,71.78
SUKABUMI,2023,68.49
CIANJUR,2023,66.55
BANDUNG,2023,73.74
GARUT,2023,68.11
TASIKMALAYA,2023,67.76
CIAMIS,2023,72.05
KUNINGAN,2023,70.72
CIREBON,2023,70.95
MAJALENGKA,2023,69.13
SUMEDANG,2023,73.18
INDRAMAYU,2023,69.25
SUBANG,2023,70.7
PURWAKARTA,2023,72.09
KARAWANG,2023,72.35
BEKASI,2023,75.76
BANDUNG BARAT,2023,69.61
PANGANDARAN,2023,69.38
KOTA BOGOR,2023,77.85
KOTA SUKABUMI,2023,76.32
KOTA BANDUNG,2023,83.04
KOTA CIREBON,2023,76.46
KOTA BEKASI,2023,83.03
KOTA DEPOK,2023,82.38
KOTA CIMAHI,2023,79.46
KOTA TASIKMALAYA,2023,74.47
KOTA BANJAR,2023,73.08
JAWA TENGAH,2023,73.39
CILACAP,2023,71.83
BANYUMAS,2023,73.86
PURBALINGGA,2023,70.24
BANJARNEGARA,2023,69.14
